pair_id,cluster,n,neff,AF2_TM1,AF2_TM2,AF3_TM1,AF3_TM2,RE-MSAT-COM,RE-MSAT1,RE-MSAT2,ESM_SEQIDS,ESM_TM1_LIST,ESM_TM2_LIST,DDG_Bias,DDG_Bias_std,DDG_frac_F1
1dzlA_5keqF,022,26.0,4.0,0.181,0.176,0.244,0.234,,,,,,,-10.771,1.606,0.0
1dzlA_5keqF,023,26.0,9.0,0.185,0.181,0.346,0.339,,,,,,,-10.421,6.141,0.0
1dzlA_5keqF,024,26.0,2.0,0.178,0.184,0.19,0.184,,,,,,,-13.815,0.792,0.0
1dzlA_5keqF,025,26.0,11.0,0.366,0.361,0.504,0.491,,,,,,,-10.249,3.794,0.0
1dzlA_5keqF,026,25.0,6.0,0.153,0.171,0.381,0.37,,,,,,,-11.378,1.298,0.0
1dzlA_5keqF,027,24.0,4.0,0.186,0.2,0.262,0.257,,,,,,,-2.476,1.794,0.1
1dzlA_5keqF,028,24.0,3.0,0.198,0.165,0.207,0.226,,,,,,,-16.71,2.01,0.0
1dzlA_5keqF,029,24.0,2.0,0.215,0.227,0.181,0.207,,,,,,,-11.779,1.489,0.0
1dzlA_5keqF,030,24.0,4.0,0.155,0.165,0.195,0.208,,,,,,,-12.358,3.594,0.0
1dzlA_5keqF,031,24.0,6.0,0.214,0.194,0.501,0.499,,,,,,,-2.994,2.567,0.1
1dzlA_5keqF,032,23.0,10.0,0.223,0.203,0.503,0.491,,,,,,,-7.832,2.907,0.0
1dzlA_5keqF,033,22.0,2.0,0.196,0.164,0.212,0.178,,,,,,,-13.996,0.859,0.0
1dzlA_5keqF,034,22.0,6.0,0.158,0.167,0.192,0.21,,,,,,,-10.288,1.479,0.0
1dzlA_5keqF,035,22.0,4.0,0.164,0.156,0.17,0.181,,,,,,,-16.44,3.529,0.0
1dzlA_5keqF,036,22.0,8.0,0.197,0.162,0.371,0.358,,,,,,,-11.528,2.442,0.0
1dzlA_5keqF,037,22.0,1.0,0.249,0.245,0.228,0.228,,,,,,,-12.979,1.539,0.0
1dzlA_5keqF,038,21.0,13.0,0.257,0.26,0.617,0.572,,,,,,,-6.055,1.5,0.0
1dzlA_5keqF,039,21.0,12.0,0.316,0.297,0.626,0.6,,,,,,,-7.242,3.419,0.0
1dzlA_5keqF,040,21.0,8.0,0.206,0.212,0.545,0.534,,,,,,,-12.376,5.724,0.0
1dzlA_5keqF,041,20.0,3.0,0.195,0.162,0.22,0.207,,,,,,,-8.311,0.959,0.0
1dzlA_5keqF,042,20.0,1.0,0.195,0.18,0.38,0.373,,,,,,,-14.373,1.136,0.0
1dzlA_5keqF,043,20.0,8.0,0.179,0.17,0.414,0.399,,,,,,,-8.274,0.849,0.0
1dzlA_5keqF,044,20.0,8.0,0.257,0.25,0.44,0.426,,,,,,,-8.405,1.63,0.0
1dzlA_5keqF,045,,,0.183,0.176,0.294,0.288,,,,,,,-12.244,1.36,0.0
1dzlA_5keqF,046,16.0,2.0,0.381,0.38,0.506,0.495,,,,,,,-33.193,7.424,0.0
1dzlA_5keqF,047,,,0.183,0.18,0.209,0.198,,,,,,,-3.288,2.927,0.0
1dzlA_5keqF,048,,,0.299,0.291,0.518,0.499,,,,,,,-20.629,16.696,0.0
1eboE_5fhcJ,Deep,,,0.839,0.602,0.794,0.271,0.0,0.0,0.0,,,,,,
1eboE_5fhcJ,000,103.0,43.0,0.867,0.247,0.822,0.243,0.0,0.0,0.0,001; 001; 002; 002; 003; 003; 004; 004; 005; 005,0.88; 0.88; 0.82; 0.82; 0.71; 0.71; 0.66; 0.66; 0.56; 0.56,0.25; 0.25; 0.25; 0.25; 0.26; 0.26; 0.27; 0.27; 0.23; 0.23,-4.129,5.087,0.3
1eboE_5fhcJ,001,67.0,20.0,0.647,0.268,0.576,0.254,0.0,0.0,0.0,004; 004; 002; 002; 001; 001; 007; 006; 005; 005,0.54; 0.54; 0.49; 0.49; 0.48; 0.48; 0.43; 0.43; 0.43; 0.43,0.25; 0.25; 0.23; 0.23; 0.24; 0.24; 0.23; 0.23; 0.25; 0.25,-8.201,5.472,0.0
1eboE_5fhcJ,002,52.0,5.0,0.418,0.249,0.378,0.28,,,,,,,-4.415,4.394,0.1
1eboE_5fhcJ,003,42.0,3.0,0.644,0.241,0.666,0.24,,,,,,,-1.329,1.079,0.1
1eboE_5fhcJ,004,36.0,16.0,0.447,0.254,0.535,0.238,,,,,,,-7.122,2.358,0.0
1eboE_5fhcJ,005,34.0,7.0,0.328,0.25,0.383,0.244,,,,,,,-10.187,4.832,0.0
1eboE_5fhcJ,006,34.0,2.0,0.666,0.24,0.651,0.245,,,,,,,-2.052,1.678,0.1
1eboE_5fhcJ,007,31.0,4.0,0.805,0.25,0.808,0.246,,,,,,,-2.333,6.332,0.5
1eboE_5fhcJ,008,31.0,2.0,0.766,0.262,0.632,0.268,,,,,,,-6.871,5.889,0.3
1eboE_5fhcJ,009,30.0,1.0,0.649,0.262,0.656,0.24,,,,,,,-1.237,1.487,0.4
1eboE_5fhcJ,010,26.0,4.0,0.643,0.271,0.653,0.238,,,,,,,-2.161,2.883,0.3
1eboE_5fhcJ,011,24.0,1.0,0.654,0.301,0.636,0.247,,,,,,,0.052,3.83,0.5
1eboE_5fhcJ,012,23.0,14.0,0.467,0.247,0.377,0.265,,,,,,,-4.761,3.241,0.0
1eboE_5fhcJ,013,23.0,1.0,0.671,0.252,0.683,0.237,,,,,,,-1.833,1.982,0.2
1eboE_5fhcJ,014,23.0,13.0,0.425,0.284,0.41,0.277,,,,,,,-5.687,2.65,0.0
1eboE_5fhcJ,015,22.0,8.0,0.672,0.262,0.621,0.294,,,,,,,-6.443,1.091,0.0
1eboE_5fhcJ,016,22.0,1.0,0.638,0.237,0.608,0.249,,,,,,,-2.438,2.77,0.3
1eboE_5fhcJ,017,22.0,14.0,0.776,0.31,0.691,0.263,,,,,,,-6.77,5.459,0.1
1eboE_5fhcJ,018,21.0,17.0,0.63,0.272,0.627,0.257,,,,,,,-9.762,3.344,0.0
1eboE_5fhcJ,019,21.0,5.0,0.639,0.284,0.593,0.301,,,,,,,-6.746,3.559,0.0
1eboE_5fhcJ,020,21.0,2.0,0.665,0.242,0.661,0.244,,,,,,,-2.229,2.926,0.3
1eboE_5fhcJ,021,20.0,11.0,0.437,0.261,0.431,0.275,,,,,,,-6.091,2.028,0.0
1eboE_5fhcJ,022,20.0,14.0,0.641,0.246,0.701,0.264,,,,,,,-9.23,2.519,0.0
1eboE_5fhcJ,023,17.0,12.0,0.645,0.263,0.643,0.26,,,,,,,-6.342,1.581,0.0
1eboE_5fhcJ,024,16.0,15.0,0.484,0.238,0.509,0.257,,,,,,,-5.994,4.132,0.2
1eboE_5fhcJ,025,15.0,5.0,0.679,0.266,0.656,0.251,,,,,,,-2.643,0.979,0.0
1eboE_5fhcJ,026,15.0,8.0,0.66,0.245,0.68,0.237,,,,,,,-1.498,1.478,0.2
1eboE_5fhcJ,027,15.0,13.0,0.661,0.276,0.634,0.257,,,,,,,-2.876,3.562,0.2
1eboE_5fhcJ,028,14.0,9.0,0.645,0.223,0.625,0.268,,,,,,,0.381,1.253,0.7
1eboE_5fhcJ,029,14.0,6.0,0.486,0.224,0.454,0.241,,,,,,,-4.649,1.683,0.0
1eboE_5fhcJ,030,13.0,10.0,0.67,0.27,0.667,0.257,,,,,,,-2.842,2.613,0.1
1eboE_5fhcJ,031,13.0,4.0,0.656,0.255,0.666,0.247,,,,,,,0.046,1.502,0.6
1eboE_5fhcJ,032,13.0,2.0,0.632,0.249,0.631,0.246,,,,,,,-2.291,1.498,0.1
1eboE_5fhcJ,033,13.0,5.0,0.463,0.226,0.447,0.28,,,,,,,-2.344,2.047,0.1
1eboE_5fhcJ,034,13.0,6.0,0.477,0.27,0.476,0.268,,,,,,,-5.074,1.886,0.0
1eboE_5fhcJ,035,13.0,1.0,0.226,0.231,0.23,0.19,,,,,,,-3.581,1.492,0.0
1eboE_5fhcJ,036,12.0,2.0,0.65,0.256,0.625,0.24,,,,,,,0.533,1.37,0.6
1eboE_5fhcJ,037,12.0,6.0,0.68,0.259,0.673,0.242,,,,,,,-3.904,2.503,0.0
1eboE_5fhcJ,038,12.0,7.0,0.685,0.277,0.645,0.244,,,,,,,-0.35,1.842,0.5
1eboE_5fhcJ,039,12.0,6.0,0.668,0.257,0.636,0.244,,,,,,,1.083,4.164,0.6
1eboE_5fhcJ,040,12.0,10.0,0.482,0.3,0.578,0.248,,,,,,,-7.939,1.03,0.0
1eboE_5fhcJ,041,12.0,7.0,0.445,0.242,0.44,0.246,,,,,,,-8.143,2.953,0.0
1eboE_5fhcJ,042,12.0,1.0,0.489,0.266,0.52,0.257,,,,,,,-4.153,1.017,0.0
1eboE_5fhcJ,043,12.0,9.0,0.452,0.255,0.464,0.251,,,,,,,-6.86,2.708,0.0
1fzpD_2frhA,Deep,,,0.631,0.911,0.652,0.94,0.025,0.02,0.4,,,,,,
1fzpD_2frhA,000,47.0,5.0,0.314,0.305,0.349,0.523,0.0,0.0,0.0,007; 007; 004; 004; 001; 001; 005; 005; 010; 010,0.49; 0.49; 0.48; 0.48; 0.45; 0.45; 0.44; 0.44; 0.34; 0.34,0.65; 0.65; 0.65; 0.65; 0.61; 0.61; 0.66; 0.66; 0.50; 0.50,7.762,2.04,1.0
1fzpD_2frhA,001,45.0,8.0,0.248,0.338,0.303,0.349,0.0,0.0,0.0,004; 004; 010; 010; 003; 003; 007; 007; 001; 001,0.57; 0.57; 0.53; 0.53; 0.52; 0.52; 0.49; 0.49; 0.46; 0.46,0.77; 0.77; 0.77; 0.77; 0.70; 0.70; 0.75; 0.75; 0.62; 0.62,8.838,2.86,1.0
1fzpD_2frhA,002,44.0,19.0,0.378,0.424,0.306,0.317,0.0,0.0,0.161,009; 009; 010; 010; 003; 003; 005; 005; 001; 001,0.62; 0.62; 0.58; 0.58; 0.54; 0.54; 0.53; 0.53; 0.43; 0.43,0.85; 0.85; 0.83; 0.83; 0.74; 0.74; 0.78; 0.78; 0.52; 0.53,8.386,6.336,0.9
1fzpD_2frhA,003,42.0,34.0,0.623,0.843,0.58,0.814,0.0,0.033,0.043,005; 005; 004; 004; 007; 007; 009; 006; 009; 006,0.41; 0.41; 0.38; 0.38; 0.37; 0.37; 0.31; 0.31; 0.31; 0.31,0.50; 0.51; 0.49; 0.49; 0.48; 0.48; 0.38; 0.55; 0.38; 0.55,5.939,2.589,1.0
1fzpD_2frhA,004,38.0,6.0,0.287,0.503,0.303,0.471,0.0,0.0,0.044,009; 009; 006; 006; 010; 003; 007; 007; 010; 002,0.52; 0.52; 0.24; 0.24; 0.22; 0.22; 0.22; 0.22; 0.22; 0.22,0.69; 0.69; 0.28; 0.28; 0.28; 0.26; 0.26; 0.26; 0.28; 0.28,9.255,2.632,1.0
1fzpD_2frhA,005,37.0,26.0,0.624,0.848,0.58,0.817,0.0,0.0,0.0,001; 001; 009; 009; 003; 003; 006; 010; 010; 006,0.31; 0.31; 0.27; 0.27; 0.25; 0.25; 0.24; 0.24; 0.24; 0.24,0.50; 0.50; 0.54; 0.54; 0.26; 0.26; 0.27; 0.28; 0.28; 0.27,8.74,3.971,1.0
1fzpD_2frhA,006,37.0,17.0,0.628,0.847,0.644,0.938,0.0,0.0,0.0,005; 005; 008; 008; 007; 007; 001; 003; 006; 001,0.43; 0.43; 0.30; 0.30; 0.29; 0.29; 0.25; 0.25; 0.25; 0.25,0.53; 0.53; 0.28; 0.28; 0.30; 0.30; 0.30; 0.42; 0.36; 0.30,5.601,2.787,1.0
1fzpD_2frhA,007,36.0,29.0,0.561,0.803,0.572,0.806,0.0,0.0,0.0,002; 010; 009; 009; 010; 002; 003; 003; 004; 008,0.26; 0.25; 0.25; 0.25; 0.25; 0.25; 0.24; 0.24; 0.22; 0.22,0.25; 0.29; 0.31; 0.31; 0.29; 0.25; 0.29; 0.29; 0.26; 0.29,6.035,1.93,1.0
1fzpD_2frhA,008,33.0,1.0,0.357,0.353,0.331,0.248,,,,,,,-0.217,1.508,0.4
1fzpD_2frhA,009,33.0,24.0,0.562,0.745,0.624,0.847,,,,,,,7.302,2.295,1.0
1fzpD_2frhA,010,33.0,23.0,0.378,0.432,0.583,0.816,,,,,,,5.689,2.392,1.0
1fzpD_2frhA,011,32.0,4.0,0.34,0.374,0.357,0.369,,,,,,,3.475,2.316,0.9
1fzpD_2frhA,012,32.0,6.0,0.621,0.856,0.646,0.935,,,,,,,3.768,1.923,1.0
1fzpD_2frhA,013,32.0,13.0,0.624,0.846,0.569,0.807,,,,,,,7.109,2.796,1.0
1fzpD_2frhA,014,32.0,17.0,0.447,0.578,0.583,0.811,,,,,,,5.468,1.795,1.0
1fzpD_2frhA,015,32.0,27.0,0.634,0.862,0.622,0.85,,,,,,,8.399,3.797,1.0
1fzpD_2frhA,016,31.0,25.0,0.612,0.843,0.573,0.807,,,,,,,5.756,4.23,0.9
1fzpD_2frhA,017,31.0,26.0,0.612,0.84,0.573,0.814,,,,,,,5.866,1.593,1.0
1fzpD_2frhA,018,30.0,21.0,0.492,0.692,0.58,0.811,,,,,,,5.917,2.557,1.0
1fzpD_2frhA,019,26.0,22.0,0.624,0.837,0.624,0.847,,,,,,,7.633,1.409,1.0
1fzpD_2frhA,020,26.0,22.0,0.252,0.501,0.248,0.491,,,,,,,9.269,2.157,1.0
1fzpD_2frhA,021,25.0,4.0,0.403,0.47,0.29,0.315,,,,,,,1.691,1.866,0.8
1fzpD_2frhA,022,25.0,23.0,0.623,0.846,0.575,0.819,,,,,,,7.38,2.617,1.0
1fzpD_2frhA,023,25.0,22.0,0.626,0.854,0.62,0.886,,,,,,,11.556,5.069,1.0
1fzpD_2frhA,024,25.0,23.0,0.624,0.845,0.581,0.816,,,,,,,8.178,4.386,1.0
1fzpD_2frhA,025,24.0,15.0,0.263,0.269,0.269,0.351,,,,,,,7.829,2.98,1.0
1fzpD_2frhA,026,24.0,15.0,0.571,0.818,0.572,0.804,,,,,,,4.31,1.154,1.0
1fzpD_2frhA,027,24.0,19.0,0.623,0.847,0.624,0.848,,,,,,,8.908,3.623,1.0
1fzpD_2frhA,028,24.0,23.0,0.621,0.848,0.578,0.818,,,,,,,8.622,3.373,1.0
1fzpD_2frhA,029,24.0,24.0,0.621,0.85,0.572,0.804,,,,,,,7.258,4.434,1.0
1fzpD_2frhA,030,24.0,19.0,0.627,0.851,0.573,0.806,,,,,,,8.977,2.491,1.0
1fzpD_2frhA,031,24.0,20.0,0.565,0.799,0.579,0.811,,,,,,,8.569,3.237,1.0
1fzpD_2frhA,032,23.0,18.0,0.622,0.847,0.577,0.815,,,,,,,10.066,4.576,1.0
1fzpD_2frhA,033,23.0,22.0,0.624,0.853,0.572,0.804,,,,,,,10.074,3.112,1.0
1fzpD_2frhA,034,22.0,15.0,0.626,0.849,0.572,0.806,,,,,,,9.559,4.434,1.0
1fzpD_2frhA,035,22.0,14.0,0.623,0.847,0.583,0.815,,,,,,,9.542,3.591,1.0
1fzpD_2frhA,036,22.0,14.0,0.606,0.816,0.572,0.803,,,,,,,6.757,1.902,1.0
1fzpD_2frhA,037,22.0,13.0,0.624,0.85,0.582,0.815,,,,,,,6.353,2.13,1.0
1fzpD_2frhA,038,22.0,14.0,0.562,0.814,0.58,0.81,,,,,,,6.167,1.741,1.0
1fzpD_2frhA,039,,,0.362,0.267,0.309,0.303,,,,,,,8.791,3.321,1.0
1fzpD_2frhA,040,21.0,4.0,0.571,0.813,0.623,0.847,,,,,,,5.846,4.035,1.0
1fzpD_2frhA,041,21.0,19.0,0.266,0.41,0.267,0.418,,,,,,,7.637,4.694,0.9
1fzpD_2frhA,042,21.0,11.0,0.559,0.768,0.623,0.845,,,,,,,12.85,2.359,1.0
1fzpD_2frhA,043,20.0,2.0,0.623,0.842,0.582,0.81,,,,,,,8.086,3.496,1.0
1fzpD_2frhA,044,20.0,15.0,0.631,0.854,0.625,0.849,,,,,,,4.301,2.408,1.0
1fzpD_2frhA,045,20.0,16.0,0.622,0.849,0.624,0.85,,,,,,,8.849,6.412,1.0
1fzpD_2frhA,046,20.0,18.0,0.336,0.467,0.347,0.375,,,,,,,13.762,4.507,1.0
1fzpD_2frhA,047,20.0,9.0,0.271,0.674,0.457,0.701,,,,,,,10.299,5.499,1.0
1fzpD_2frhA,048,19.0,10.0,0.295,0.329,0.288,0.313,,,,,,,7.347,3.433,1.0
1fzpD_2frhA,049,18.0,5.0,0.634,0.853,0.583,0.819,,,,,,,5.035,2.678,1.0
1fzpD_2frhA,050,17.0,14.0,0.567,0.801,0.574,0.805,,,,,,,5.138,1.29,1.0
1fzpD_2frhA,051,17.0,16.0,0.562,0.795,0.624,0.848,,,,,,,8.125,3.269,1.0
1fzpD_2frhA,052,17.0,15.0,0.356,0.491,0.269,0.312,,,,,,,8.768,2.234,1.0
1fzpD_2frhA,053,17.0,11.0,0.567,0.804,0.582,0.813,,,,,,,4.457,1.781,1.0
1fzpD_2frhA,054,16.0,12.0,0.226,0.386,0.261,0.383,,,,,,,9.741,2.272,1.0
1fzpD_2frhA,055,16.0,16.0,0.524,0.75,0.544,0.764,,,,,,,3.711,1.397,1.0
1fzpD_2frhA,056,15.0,1.0,0.595,0.811,0.572,0.808,,,,,,,6.192,4.069,1.0
1fzpD_2frhA,057,,,0.574,0.82,0.573,0.806,,,,,,,6.663,1.502,1.0
1fzpD_2frhA,058,15.0,9.0,0.221,0.426,0.219,0.424,,,,,,,8.176,3.085,1.0
1fzpD_2frhA,059,15.0,13.0,0.244,0.497,0.245,0.494,,,,,,,6.103,1.097,1.0
1fzpD_2frhA,060,15.0,10.0,0.407,0.469,0.386,0.471,,,,,,,12.91,0.844,1.0
1fzpD_2frhA,061,15.0,3.0,0.228,0.516,0.216,0.484,,,,,,,10.554,3.6,1.0
1fzpD_2frhA,062,14.0,4.0,0.56,0.807,0.579,0.813,,,,,,,6.108,1.639,1.0
1fzpD_2frhA,063,14.0,7.0,0.558,0.792,0.574,0.808,,,,,,,7.174,2.008,1.0
1fzpD_2frhA,064,14.0,13.0,0.488,0.728,0.624,0.849,,,,,,,4.261,2.242,1.0
1fzpD_2frhA,065,14.0,14.0,0.564,0.815,0.396,0.361,,,,,,,6.141,1.729,1.0
1fzpD_2frhA,066,14.0,14.0,0.561,0.803,0.573,0.804,,,,,,,6.508,2.518,1.0
1fzpD_2frhA,067,14.0,12.0,0.563,0.806,0.577,0.813,,,,,,,9.011,1.19,1.0
1fzpD_2frhA,068,14.0,14.0,0.622,0.842,0.58,0.816,,,,,,,9.419,2.803,1.0
1fzpD_2frhA,069,14.0,14.0,0.235,0.453,0.245,0.443,,,,,,,6.692,2.277,1.0
1fzpD_2frhA,070,14.0,12.0,0.356,0.368,0.397,0.419,,,,,,,16.477,2.069,1.0
1fzpD_2frhA,071,14.0,10.0,0.253,0.52,0.249,0.486,,,,,,,15.245,2.74,1.0
1fzpD_2frhA,072,,,0.562,0.806,0.625,0.848,,,,,,,5.744,3.023,1.0
1fzpD_2frhA,073,,,0.385,0.374,0.583,0.816,,,,,,,7.5,2.58,1.0
1fzpD_2frhA,074,13.0,1.0,0.627,0.85,0.579,0.812,,,,,,,6.841,2.697,1.0
1fzpD_2frhA,075,13.0,6.0,0.23,0.385,0.248,0.253,,,,,,,7.086,2.696,1.0
1fzpD_2frhA,076,13.0,9.0,0.24,0.462,0.234,0.478,,,,,,,6.505,2.928,1.0
1fzpD_2frhA,077,13.0,10.0,0.618,0.825,0.623,0.845,,,,,,,6.417,2.893,1.0
1fzpD_2frhA,078,13.0,12.0,0.565,0.811,0.573,0.808,,,,,,,5.814,2.351,1.0
1fzpD_2frhA,079,13.0,13.0,0.351,0.39,0.573,0.804,,,,,,,5.488,1.782,1.0
1fzpD_2frhA,080,13.0,8.0,0.582,0.833,0.575,0.809,,,,,,,8.545,2.022,1.0
1fzpD_2frhA,081,12.0,11.0,0.556,0.789,0.583,0.814,,,,,,,4.351,1.931,1.0
1fzpD_2frhA,082,12.0,11.0,0.56,0.8,0.573,0.808,,,,,,,6.738,2.502,1.0
1fzpD_2frhA,083,12.0,11.0,0.629,0.853,0.573,0.807,,,,,,,6.206,3.336,1.0
1fzpD_2frhA,084,12.0,9.0,0.63,0.854,0.624,0.848,,,,,,,7.085,3.524,1.0
1fzpD_2frhA,085,12.0,11.0,0.236,0.413,0.264,0.312,,,,,,,7.176,2.364,1.0
1fzpD_2frhA,086,12.0,12.0,0.624,0.854,0.577,0.814,,,,,,,6.659,3.493,1.0
1fzpD_2frhA,087,12.0,11.0,0.276,0.393,0.28,0.382,,,,,,,8.888,1.281,1.0
1fzpD_2frhA,088,12.0,11.0,0.224,0.423,0.217,0.424,,,,,,,8.418,3.369,1.0
1fzpD_2frhA,089,12.0,11.0,0.249,0.462,0.245,0.478,,,,,,,8.712,2.224,1.0
1iytA_2naoF,Deep,,,0.241,0.226,0.479,0.214,0.0,0.028,0.0,,,,,,
1iytA_2naoF,000,16.0,1.0,0.199,0.274,0.256,0.303,0.0,0.028,0.0,005; 005; 002; 004; 002; 004; 001; 009; 007; 007,0.43; 0.43; 0.37; 0.37; 0.37; 0.36; 0.35; 0.33; 0.31; 0.31,0.23; 0.23; 0.22; 0.17; 0.19; 0.17; 0.26; 0.22; 0.17; 0.17,0.098,0.156,0.8
1iytA_2naoF,001,14.0,3.0,0.218,0.235,0.489,0.209,,,,,,,-0.006,0.325,0.3
1iytA_2naoF,002,13.0,1.0,0.249,0.275,0.486,0.208,,,,,,,0.361,0.275,0.9
1iytA_2naoF,003,12.0,1.0,0.257,0.248,0.429,0.241,,,,,,,0.274,0.257,0.8
1iytA_2naoF,004,12.0,3.0,0.462,0.269,0.541,0.209,,,,,,,-0.425,0.43,0.2
1iytA_2naoF,005,12.0,4.0,0.247,0.233,0.249,0.218,,,,,,,-0.134,0.539,0.4
1iytA_2naoF,006,11.0,1.0,0.252,0.188,0.225,0.19,,,,,,,0.154,0.352,0.7
1iytA_2naoF,007,10.0,1.0,0.365,0.179,0.472,0.158,,,,,,,-0.176,0.363,0.2
1iytA_2naoF,008,10.0,1.0,0.262,0.263,0.26,0.224,,,,,,,0.115,0.094,0.8
1iytA_2naoF,009,10.0,1.0,0.283,0.209,0.234,0.19,,,,,,,0.383,0.107,1.0
1iytA_2naoF,010,,,0.452,0.312,0.287,0.266,,,,,,,0.495,0.087,1.0
1iytA_2naoF,011,10.0,1.0,0.209,0.195,0.291,0.245,,,,,,,0.308,0.207,1.0
1jfkA_2nxqB,Deep,,,0.453,0.472,0.446,0.465,0.253,0.355,0.35,,,,,,
1jfkA_2nxqB,000,825.0,756.0,0.467,0.459,0.443,0.455,0.0,0.124,0.043,001; 001; 003; 003; 007; 007; 004; 004; 005; 005,0.46; 0.46; 0.44; 0.44; 0.42; 0.42; 0.41; 0.41; 0.37; 0.37,0.63; 0.63; 0.43; 0.43; 0.66; 0.66; 0.46; 0.46; 0.44; 0.43,-6.453,5.553,0.3
1jfkA_2nxqB,001,778.0,705.0,0.469,0.456,0.447,0.458,0.046,0.054,0.124,001; 001; 003; 002; 005; 003; 002; 005; 010; 010,0.45; 0.45; 0.44; 0.44; 0.44; 0.44; 0.44; 0.44; 0.40; 0.40,0.65; 0.65; 0.88; 0.51; 0.45; 0.88; 0.45; 0.45; 0.48; 0.48,-6.716,6.025,0.3
